courier_id,order_number,courier_location_timestamp,courier_lat,courier_lon,order_created_timestamp,restaurant_lat,restaurant_lon,restaurant_id,dist_to_restaurant,avg_dist_to_restaurants,Hdist_to_restaurant,avg_Hdist_to_restaurants,Five_Clusters_embedding,Five_Clusters_embedding_error,h3_index,date_day_number,date_hour_number,orders_busyness_by_h3_hour,restaurants_per_index
386,281322949,27:24.3,50.44991555,-104.6123595,2021-04-02 5:06,50.45016468,-104.612035,27,0.000409063,0.045819502,0.035997992,3.949483793,4,0.036041754,22,92,5,1026,69
276,280969526,47:18.2,50.4488953,-104.5333816,2021-04-01 6:40,50.446987,-104.5314769,42,0.002696233,0.076483441,0.251498312,5.801744164,3,0.011417143,11,91,6,527,53
23,280926963,05:20.1,50.44231652,-104.6151466,2021-04-01 5:27,50.4422736,-104.6147315,43,0.000417295,0.047013662,0.029787367,4.090055124,4,0.028087072,18,91,6,119,40
471,281287408,34:04.6,50.4475597,-104.5947786,2021-04-02 4:17,50.4475473,-104.5945124,44,0.000266489,0.04727249,0.018904575,3.971045912,2,0.036671529,23,92,4,316,65
495,281305966,02:07.0,50.49548817,-104.6662928,2021-04-02 4:43,50.49528433,-104.6658239,45,0.000511298,0.082472299,0.040184674,7.174311811,0,0.021780494,5,92,5,397,35
361,281349701,48:04.3,50.40224788,-104.6459392,2021-04-02 5:40,50.402264,-104.6459972,46,6.02E-05,0.073920013,0.004483966,6.811339266,1,0.022165048,9,92,5,641,35
434,280946435,14:20.3,50.444272,-104.5449651,2021-04-01 6:00,50.4441237,-104.5451638,47,0.000247941,0.068022289,0.021683363,5.23995383,3,0.001887762,17,91,6,701,75
3,280954118,36:06.2,50.49535,-104.6663283,2021-04-01 6:13,50.4951598,-104.6657333,4,0.000624661,0.082424905,0.047116107,7.166224704,0,0.021825021,5,91,6,234,35
321,281267772,04:03.4,50.48164425,-104.6192411,2021-04-02 3:48,50.4816916,-104.6193519,48,0.000120506,0.05515825,0.00944713,5.080707939,0,0.029531481,28,92,4,422,51
168,281321810,19:25.2,50.4406264,-104.6181045,2021-04-02 5:04,50.4456877,-104.6237094,49,0.007551931,0.047898279,0.688864586,4.179153901,4,0.026137665,18,92,5,173,40
194,281325145,22:41.3,50.44982761,-104.6062372,2021-04-02 5:09,50.4498882,-104.6061985,50,7.19E-05,0.045740821,0.007275994,3.917674844,4,0.037585143,22,92,5,1026,69
90,281345754,52:21.3,50.41821211,-104.6184823,2021-04-02 5:35,50.4184188,-104.6185455,51,0.000216146,0.055275396,0.023422398,5.108367025,4,0.0037539,21,92,5,656,52
427,280968392,53:10.5,50.4157266,-104.6183359,2021-04-01 6:38,50.4158175,-104.6186447,52,0.000321901,0.056387779,0.024108588,5.247349036,4,0.001432057,21,91,6,525,52
445,281314622,10:36.3,50.41647523,-104.5139135,2021-04-02 4:55,50.4164858,-104.5143792,53,0.000465797,0.100269527,0.033025165,7.938829675,3,0.042535365,14,92,5,116,24
